Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,1,0.534,0.372
5,1,0.545,0.368
6,1,0.545,0.367
7,1,0.552,0.367
8,1,0.560,0.367
9,1,0.566,0.367
10,1,0.574,0.371
11,1,0.581,0.375
12,1,0.582,0.375
13,1,0.588,0.379
14,1,0.595,0.386
15,1,0.601,0.393
16,1,0.605,0.404
17,1,0.610,0.414
18,1,0.611,0.414
19,1,0.615,0.426
20,1,0.620,0.440
21,1,0.625,0.456
22,1,0.630,0.471
23,1,0.631,0.481
24,1,0.630,0.479
25,1,0.602,0.456
26,1,0.586,0.442
27,1,0.570,0.431
28,1,0.555,0.414
29,1,0.545,0.404
30,1,0.544,0.403
31,1,0.533,0.397
32,1,0.520,0.393
33,1,0.509,0.389
34,1,0.501,0.388
35,1,0.491,0.388
36,1,0.490,0.389
37,1,0.483,0.389
38,1,0.475,0.393
39,1,0.467,0.397
40,1,0.459,0.403
41,1,0.453,0.410
42,1,0.455,0.407
43,1,0.448,0.418
44,0,-1.000,-1.000
45,1,0.436,0.439
46,1,0.431,0.447
47,1,0.435,0.436
48,1,0.434,0.436
49,1,0.441,0.425
50,1,0.447,0.417
51,1,0.451,0.406
52,1,0.453,0.401
53,1,0.458,0.397
54,1,0.458,0.397
55,1,0.462,0.393
56,1,0.466,0.393
57,1,0.469,0.393
58,1,0.476,0.394
59,1,0.480,0.400
60,1,0.480,0.400
61,1,0.484,0.404
62,1,0.488,0.411
63,1,0.492,0.419
64,1,0.495,0.431
65,1,0.497,0.442
66,1,0.498,0.442
67,1,0.501,0.454
68,1,0.504,0.469
69,1,0.506,0.482
70,1,0.508,0.476
71,1,0.506,0.463
72,1,0.506,0.461
73,1,0.505,0.447
74,1,0.503,0.435
75,1,0.500,0.429
76,1,0.501,0.426
77,1,0.498,0.421
78,1,0.502,0.422
79,1,0.499,0.421
80,1,0.500,0.418
81,1,0.498,0.418
82,1,0.498,0.418
83,1,0.495,0.424
84,1,0.496,0.419
85,1,0.495,0.422
86,1,0.492,0.431
87,1,0.490,0.440
88,1,0.491,0.447
89,1,0.492,0.458
90,1,0.491,0.457
91,1,0.493,0.467
92,1,0.492,0.479
93,1,0.492,0.494
94,0,-1.000,-1.000
95,1,0.500,0.269
96,1,0.499,0.267
97,1,0.505,0.179
98,1,0.508,0.103
99,1,0.511,0.032
100,0,-1.000,-1.000
101,0,-1.000,-1.000
102,0,-1.000,-1.000
103,0,-1.000,-1.000
104,0,-1.000,-1.000
105,0,-1.000,-1.000
106,0,-1.000,-1.000
107,0,-1.000,-1.000
108,0,-1.000,-1.000
109,0,-1.000,-1.000
110,0,-1.000,-1.000
111,0,-1.000,-1.000
112,0,-1.000,-1.000
113,0,-1.000,-1.000
114,0,-1.000,-1.000
115,0,-1.000,-1.000
116,0,-1.000,-1.000
117,0,-1.000,-1.000
118,0,-1.000,-1.000
119,0,-1.000,-1.000
120,0,-1.000,-1.000
121,0,-1.000,-1.000
122,0,-1.000,-1.000
123,0,-1.000,-1.000
124,0,-1.000,-1.000
125,0,-1.000,-1.000
126,0,-1.000,-1.000
127,0,-1.000,-1.000
128,0,-1.000,-1.000
129,0,-1.000,-1.000
130,0,-1.000,-1.000
131,0,-1.000,-1.000
132,0,-1.000,-1.000
133,0,-1.000,-1.000
134,0,-1.000,-1.000
135,0,-1.000,-1.000
136,0,-1.000,-1.000
137,0,-1.000,-1.000
138,0,-1.000,-1.000
139,0,-1.000,-1.000
140,0,-1.000,-1.000
141,0,-1.000,-1.000
142,0,-1.000,-1.000
143,0,-1.000,-1.000
144,0,-1.000,-1.000
145,0,-1.000,-1.000
146,1,0.559,0.018
147,1,0.559,0.050
148,1,0.559,0.086
149,1,0.559,0.119
150,1,0.560,0.118
151,1,0.560,0.154
152,1,0.560,0.185
153,1,0.559,0.219
154,1,0.559,0.253
155,1,0.560,0.287
156,1,0.561,0.287
157,1,0.560,0.322
158,1,0.561,0.358
159,0,-1.000,-1.000
160,1,0.503,0.379
161,1,0.486,0.383
162,1,0.486,0.383
163,0,-1.000,-1.000
164,1,0.466,0.392
165,1,0.459,0.397
166,1,0.453,0.401
167,1,0.448,0.406
168,1,0.448,0.406
169,1,0.444,0.410
170,1,0.441,0.417
171,1,0.438,0.426
172,1,0.430,0.417
173,1,0.427,0.383
174,1,0.426,0.383
175,1,0.425,0.362
176,1,0.420,0.350
177,1,0.420,0.342
178,1,0.418,0.332
179,1,0.416,0.325
180,1,0.415,0.325
181,1,0.415,0.321
182,1,0.412,0.318
183,1,0.410,0.317
184,1,0.410,0.315
185,1,0.408,0.319
186,1,0.408,0.318
187,1,0.408,0.321
188,1,0.406,0.328
189,1,0.405,0.333
190,1,0.404,0.344
191,1,0.402,0.353
192,1,0.403,0.353
193,1,0.402,0.365
194,1,0.402,0.379
195,1,0.400,0.394
196,0,-1.000,-1.000
197,0,-1.000,-1.000
198,0,-1.000,-1.000
199,1,0.504,0.388
200,1,0.522,0.390
201,1,0.533,0.393
202,1,0.542,0.397
203,1,0.552,0.401
204,1,0.552,0.401
205,1,0.558,0.407
206,1,0.565,0.411
207,1,0.570,0.418
208,1,0.576,0.424
209,1,0.579,0.432
210,1,0.580,0.432
211,1,0.584,0.433
212,1,0.587,0.424
213,1,0.589,0.417
214,1,0.589,0.411
215,1,0.591,0.410
216,1,0.591,0.410
217,1,0.592,0.407
218,1,0.595,0.404
219,1,0.595,0.406
220,1,0.598,0.407
221,1,0.598,0.406
222,1,0.598,0.406
223,1,0.602,0.401
224,1,0.602,0.401
225,1,0.604,0.400
226,1,0.605,0.397
227,1,0.605,0.399
228,1,0.605,0.397
229,1,0.607,0.396
230,1,0.608,0.396
231,1,0.609,0.394
232,1,0.609,0.393
233,1,0.610,0.390
234,1,0.609,0.393
235,1,0.610,0.392
236,1,0.610,0.390
237,1,0.610,0.390
238,1,0.610,0.390
239,1,0.610,0.390
240,1,0.610,0.390
241,1,0.610,0.390
242,1,0.609,0.390
243,1,0.609,0.390
244,1,0.608,0.389
245,1,0.608,0.389
246,1,0.608,0.389
247,1,0.608,0.389
