Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,0,-1.000,-1.000
12,0,-1.000,-1.000
13,0,-1.000,-1.000
14,0,-1.000,-1.000
15,0,-1.000,-1.000
16,0,-1.000,-1.000
17,0,-1.000,-1.000
18,0,-1.000,-1.000
19,0,-1.000,-1.000
20,0,-1.000,-1.000
21,0,-1.000,-1.000
22,0,-1.000,-1.000
23,1,0.541,0.554
24,1,0.540,0.553
25,1,0.541,0.553
26,1,0.540,0.551
27,1,0.541,0.551
28,1,0.540,0.550
29,1,0.540,0.549
30,1,0.540,0.549
31,1,0.540,0.544
32,1,0.540,0.546
33,1,0.540,0.543
34,1,0.540,0.543
35,1,0.540,0.539
36,1,0.541,0.536
37,1,0.541,0.531
38,1,0.541,0.532
39,1,0.543,0.524
40,1,0.546,0.521
41,1,0.547,0.521
42,1,0.548,0.524
43,1,0.548,0.524
44,1,0.548,0.524
45,1,0.548,0.531
46,1,0.552,0.537
47,1,0.552,0.544
48,1,0.551,0.556
49,1,0.553,0.564
50,1,0.552,0.565
51,1,0.554,0.579
52,1,0.556,0.596
53,1,0.558,0.613
54,1,0.559,0.628
55,1,0.531,0.403
56,1,0.531,0.406
57,1,0.519,0.278
58,1,0.504,0.151
59,1,0.496,0.082
60,1,0.488,0.013
61,0,-1.000,-1.000
62,0,-1.000,-1.000
63,0,-1.000,-1.000
64,0,-1.000,-1.000
65,0,-1.000,-1.000
66,0,-1.000,-1.000
67,0,-1.000,-1.000
68,0,-1.000,-1.000
69,0,-1.000,-1.000
70,0,-1.000,-1.000
71,0,-1.000,-1.000
72,0,-1.000,-1.000
73,0,-1.000,-1.000
74,0,-1.000,-1.000
75,0,-1.000,-1.000
76,0,-1.000,-1.000
77,0,-1.000,-1.000
78,0,-1.000,-1.000
79,0,-1.000,-1.000
80,0,-1.000,-1.000
81,0,-1.000,-1.000
82,0,-1.000,-1.000
83,0,-1.000,-1.000
84,0,-1.000,-1.000
85,0,-1.000,-1.000
86,0,-1.000,-1.000
87,0,-1.000,-1.000
88,0,-1.000,-1.000
89,0,-1.000,-1.000
90,0,-1.000,-1.000
91,0,-1.000,-1.000
92,0,-1.000,-1.000
93,0,-1.000,-1.000
94,0,-1.000,-1.000
95,0,-1.000,-1.000
96,0,-1.000,-1.000
97,0,-1.000,-1.000
98,0,-1.000,-1.000
99,0,-1.000,-1.000
100,0,-1.000,-1.000
101,0,-1.000,-1.000
102,0,-1.000,-1.000
103,0,-1.000,-1.000
104,0,-1.000,-1.000
105,1,0.427,0.007
106,1,0.427,0.035
107,1,0.427,0.057
108,1,0.425,0.085
109,1,0.427,0.114
110,1,0.425,0.111
111,1,0.427,0.138
112,1,0.426,0.165
113,1,0.427,0.192
114,1,0.420,0.247
115,1,0.412,0.297
116,1,0.412,0.299
117,1,0.405,0.331
118,1,0.398,0.372
119,1,0.395,0.399
120,1,0.392,0.431
121,1,0.389,0.456
122,1,0.389,0.456
123,1,0.385,0.481
124,1,0.382,0.506
125,1,0.380,0.531
126,1,0.377,0.557
127,1,0.376,0.588
128,1,0.376,0.589
129,1,0.375,0.608
130,1,0.380,0.553
131,1,0.388,0.524
132,1,0.396,0.497
133,1,0.398,0.478
134,1,0.398,0.479
135,0,-1.000,-1.000
136,1,0.405,0.450
137,1,0.408,0.444
138,1,0.412,0.436
139,1,0.416,0.436
140,1,0.416,0.433
141,1,0.419,0.435
142,1,0.422,0.436
143,1,0.423,0.439
144,1,0.427,0.443
145,1,0.428,0.449
146,1,0.429,0.449
147,1,0.430,0.457
148,1,0.433,0.465
149,1,0.436,0.475
150,1,0.438,0.487
151,1,0.442,0.507
152,1,0.441,0.506
153,1,0.442,0.517
154,1,0.440,0.485
155,1,0.426,0.425
156,1,0.423,0.393
157,1,0.416,0.360
158,1,0.415,0.357
159,1,0.410,0.339
160,1,0.405,0.317
161,1,0.401,0.301
162,1,0.397,0.290
163,1,0.391,0.281
164,1,0.391,0.281
165,1,0.388,0.278
166,1,0.385,0.271
167,1,0.381,0.268
168,1,0.378,0.268
169,1,0.373,0.271
170,1,0.375,0.269
171,1,0.371,0.276
172,1,0.367,0.281
173,1,0.364,0.290
174,1,0.361,0.300
175,1,0.358,0.315
176,1,0.358,0.315
177,1,0.354,0.329
178,1,0.352,0.347
179,1,0.347,0.364
180,1,0.345,0.386
181,1,0.342,0.411
182,1,0.341,0.412
183,1,0.338,0.429
184,1,0.338,0.451
185,1,0.334,0.433
186,1,0.341,0.347
187,1,0.343,0.275
188,1,0.343,0.272
189,1,0.347,0.235
190,1,0.350,0.196
191,1,0.352,0.171
192,1,0.354,0.154
193,1,0.356,0.135
194,1,0.355,0.135
195,1,0.357,0.128
196,1,0.359,0.121
197,1,0.360,0.113
198,1,0.362,0.108
199,1,0.365,0.107
200,1,0.366,0.107
201,1,0.367,0.110
202,1,0.367,0.111
203,1,0.370,0.114
204,1,0.372,0.119
205,1,0.373,0.128
206,1,0.373,0.128
207,1,0.375,0.136
208,1,0.377,0.146
209,1,0.380,0.158
210,1,0.380,0.169
211,1,0.384,0.183
212,1,0.382,0.183
213,1,0.384,0.197
214,1,0.387,0.229
215,1,0.408,0.232
216,1,0.432,0.236
217,1,0.455,0.251
218,1,0.455,0.253
219,1,0.472,0.263
220,1,0.491,0.271
221,1,0.507,0.286
222,1,0.520,0.296
223,1,0.534,0.311
224,1,0.537,0.312
225,1,0.547,0.325
226,1,0.558,0.340
227,1,0.568,0.358
228,1,0.577,0.375
229,1,0.587,0.396
230,1,0.587,0.394
231,1,0.595,0.414
232,1,0.603,0.438
233,1,0.610,0.458
234,1,0.615,0.475
235,1,0.622,0.501
236,1,0.623,0.501
237,1,0.629,0.525
238,1,0.634,0.553
239,1,0.639,0.576
240,1,0.644,0.601
241,1,0.649,0.636
242,1,0.649,0.639
243,1,0.652,0.614
244,1,0.655,0.572
245,1,0.655,0.543
246,1,0.653,0.522
247,1,0.653,0.496
248,1,0.653,0.494
249,1,0.654,0.478
250,1,0.655,0.465
251,1,0.659,0.449
252,1,0.661,0.443
253,1,0.663,0.436
254,1,0.663,0.435
255,1,0.665,0.431
256,1,0.666,0.428
257,1,0.666,0.425
258,1,0.667,0.426
259,1,0.668,0.429
260,1,0.668,0.428
261,1,0.670,0.433
262,1,0.670,0.439
263,1,0.670,0.449
264,1,0.672,0.457
265,0,-1.000,-1.000
266,1,0.673,0.467
267,1,0.675,0.485
268,1,0.677,0.494
269,1,0.678,0.514
270,1,0.679,0.528
271,1,0.680,0.524
272,1,0.680,0.521
273,1,0.680,0.479
274,1,0.682,0.426
275,1,0.685,0.381
276,1,0.688,0.347
277,1,0.688,0.318
278,1,0.687,0.319
279,1,0.689,0.293
280,1,0.689,0.274
281,1,0.690,0.257
282,1,0.692,0.246
283,1,0.691,0.232
284,1,0.691,0.232
285,1,0.693,0.226
286,1,0.691,0.219
287,1,0.693,0.215
288,1,0.693,0.217
289,1,0.693,0.217
290,1,0.693,0.218
291,1,0.693,0.221
292,1,0.692,0.225
293,1,0.691,0.232
294,1,0.691,0.243
295,1,0.691,0.257
296,1,0.691,0.256
297,1,0.689,0.271
298,1,0.689,0.286
299,1,0.688,0.304
300,1,0.687,0.324
301,1,0.685,0.346
302,1,0.685,0.347
303,1,0.685,0.368
304,1,0.684,0.393
305,1,0.684,0.422
306,1,0.680,0.449
307,1,0.681,0.476
308,1,0.681,0.478
309,1,0.680,0.508
310,1,0.678,0.536
311,1,0.679,0.572
312,1,0.670,0.556
313,1,0.662,0.501
314,1,0.662,0.499
315,1,0.652,0.457
316,1,0.648,0.432
317,1,0.645,0.415
318,1,0.641,0.403
319,1,0.639,0.394
320,1,0.640,0.396
321,1,0.637,0.388
322,1,0.634,0.385
323,1,0.634,0.382
324,1,0.633,0.382
325,1,0.632,0.385
326,1,0.633,0.383
327,1,0.631,0.389
328,1,0.630,0.396
329,1,0.630,0.401
330,1,0.639,0.399
331,1,0.642,0.388
332,1,0.641,0.389
333,1,0.644,0.375
334,1,0.648,0.374
335,1,0.654,0.375
336,1,0.658,0.379
337,1,0.662,0.381
338,1,0.662,0.382
339,1,0.668,0.386
340,1,0.670,0.394
341,1,0.673,0.404
342,1,0.675,0.412
343,1,0.678,0.426
344,1,0.678,0.425
345,1,0.680,0.439
346,1,0.684,0.453
347,1,0.686,0.472
348,1,0.688,0.489
349,1,0.690,0.508
350,1,0.689,0.507
351,1,0.691,0.529
352,1,0.694,0.549
353,1,0.694,0.574
354,1,0.696,0.599
355,1,0.698,0.624
356,1,0.697,0.622
357,1,0.698,0.650
358,1,0.677,0.606
359,1,0.649,0.475
360,1,0.630,0.410
361,1,0.615,0.350
362,1,0.615,0.347
363,1,0.598,0.287
364,1,0.587,0.249
365,1,0.573,0.211
366,1,0.562,0.175
367,1,0.554,0.151
368,1,0.555,0.151
369,1,0.544,0.122
370,1,0.538,0.108
371,1,0.529,0.090
372,1,0.524,0.079
373,1,0.518,0.069
374,1,0.518,0.068
375,1,0.514,0.062
376,1,0.509,0.056
377,1,0.505,0.054
378,1,0.499,0.051
379,1,0.496,0.051
380,1,0.495,0.051
381,1,0.491,0.053
382,1,0.487,0.057
383,1,0.484,0.062
384,1,0.481,0.068
385,1,0.479,0.078
386,1,0.478,0.076
387,1,0.475,0.089
388,1,0.473,0.100
389,1,0.470,0.114
390,1,0.469,0.128
391,1,0.467,0.140
392,1,0.468,0.142
393,1,0.466,0.161
394,1,0.465,0.176
395,1,0.462,0.194
396,1,0.453,0.181
397,1,0.447,0.167
398,1,0.447,0.167
399,1,0.439,0.149
400,1,0.434,0.139
401,1,0.429,0.135
402,1,0.427,0.129
403,1,0.423,0.128
404,1,0.425,0.129
405,1,0.420,0.128
406,1,0.417,0.128
407,1,0.414,0.133
408,1,0.412,0.142
409,1,0.409,0.147
